NAME	RAJD	DECJD	F0	DIST
J0742+4110	115.55092	41.17083	318.551	0.524
J0742+4334	115.67554	43.56728	1.649645949586	1.61
J0744-2525	101.59333	-54.8825	10.87	*
B0743-53	116.26867	-53.885989	4.65465907222	0.565
J0746-4529	116.74799	-45.49074	0.35829128584	0.81
J0747+6646	116.91536	66.78243	2.45278075482	1.865
J0749-4247	117.456979	-42.795039	0.91286506038	0.56
J0750+57	117.5	57	0.85115	1.604
J0750-6846	117.64938	-68.77606	1.09263847505	0.338
J0751+1807	117.78814721	18.1273573	287.457853995101	1.11
J0753-0816	118.3875	-8.32639	0.477642	1.718
B0751+32	118.66953	32.53228	0.6933132465193	1.464
B0756-15	119.621128	-15.469094	1.465705762893	2.71
J0758-30	119.5	-30	0.9	0.444
J0802-5613	120.6	-56.21722	3.65	*
J0803-0942	120.86187	-9.71411	1.75052694621	0.818
J0803+34	120.8	34.3	*	1.305
J0804-3647	121.0925	-36.79319	0.45620710683	2.916
J0806+08	121.52	8.28	0.484707	1.848
J0806-4123	121.5975	-41.37525	0.0879477624	*
J0807-5421	121.9466	-54.35735	1.89881758784	0.887
J0808-3937	122.04846	-39.63136	1.15426885859	2.884
B0808-47	122.43265	-47.898528	1.82747830437	6.488
J0811+37	122.8	37.47	0.801089	0.355
J0812-3905	123.06167	-39.09692	2.072126886239	5.86
J0813+22	123.47	22.02	1.881822	2.449
B0809+74	123.74792	74.48492	0.7738491923691	0.432
J0815+0939	123.78657	9.66408	1.55000023848	2.491
J0815+4611	123.99776	46.198122	2.3028620453547	0.358
J0818-3049	124.7054	-30.8253	1.3093429439	0.422
J0818-3232	124.60806	-32.54181	0.462693288405	0.484
B0818-13	125.1099238	-13.8488497	0.8076699283629	1.9
J0820-3826	125.2497	-38.4453	8.01046656802	4.084
J0820-3921	125.20462	-39.36547	0.93147459585	3.576
B0818-41	125.06442	-41.24311	1.8333635346	0.571
J0821-4221	125.435983	-42.357072	2.520617165172	5.802
J0821-4300	125.489022	-43.004743	8.86529105448	2.2
B0820+02	125.7906879	1.9867969	1.1562393852218	2.5
J0824+0028	126.1035009	0.4668242	101.40600778116	1.689
B0823+26	126.7146117	26.6225825	1.88444396743	0.498
J0827+53	126.95	53	74.074074	1.571
B0826-34	127.0693	-34.2853	0.54085663363	0.354
J0831-4406	127.88512	-44.10331	3.20848561308	5.883
J0834-4159	128.574196	-41.993331	8.25642751376	5.508
J0834-60	128.71	-60.58	2.5998	0.095
J0835-3707	128.76283	-37.13097	1.84704824843	0.555
B0833-45	128.83588121	-45.17635419	11.1946499395	0.28
J0836-4233	129.02438	-42.55692	1.35421422194	3.609
B0834+06	129.273508	6.17071	0.7850721411512	0.19
J0837-24	129.43	-24.8	*	25
B0835-41	129.33831	-41.5873786	1.330449942221	1.5
J0838-2621	129.578338	-26.358208	3.24064376896	4.102
J0838-3947	129.628	-39.7894	0.5868731596	5.095
J0839-66	129.90417	-66.58111	2.225491	0.448
B0839-53	130.14052	-53.543319	1.38770592261	0.566
B0840-48	130.522685	-48.85572	1.5519428595	3.103
J0843+0719	130.89092	7.3133	0.73214	2.068
J0843-5022	130.79118	-50.37864	4.78570353797	1.573
J0843+67	130.845	67.21889	351.370344	1.579
B0844-35	131.52517	-35.56144	0.895978340344	0.535
J0847-4316	131.9889	-43.28244	0.167294222511	6.547
J0848+16	132.22	16.72	2.210433	2.283
J0849-6322	132.42746	-63.37639	2.7177365137	0.383
B0841+80	132.2563	80.4831	0.624130907903	3.304
J0854+5449	133.60719	54.824662	0.811008563879	1.436
B0853-33	133.91006	-33.52758	0.788932412575	0.503
J0855-4644	133.90075	-46.73706	15.45926440866	5.638
J0855-4658	133.8315	-46.9729	1.73891153582	13.74
B0855-61	134.24696	-61.63131	1.03894958562	0.37
J0857+3349	134.27946	33.82139	4.11588560645	1.567
J0857-4424	134.482633	-44.402958	3.0601045423	2.833
J0900-3144	135.18313787	-31.74191533	90.011841919358	0.89
J0901-4624	135.41717	-46.41347	2.26246836299	3.032
B0901-63	135.635	-63.42	1.5144324546	0.192
B0903-42	136.24618	-42.77039	1.03608336991	0.675
B0904-74	136.04362	-74.99492	1.81965845843	1.048
J0905-4536	136.3496	-45.61472	1.0118583757	2.912
J0905-5127	136.4665	-51.465014	2.88766003664	1.33
J0905-6019	136.31352	-60.322794	2.93380591708	0.359
B0905-51	136.816254	-51.966489	3.9438751026	0.341
B0906-17	137.159092	-17.660464	2.4898809777858	0.805
B0906-49	137.14775	-49.218056	9.36601123448	1
B0909-71	137.39921	-72.202483	0.733734742115	0.752
B0904+77	138	77.5	0.63329	*
J0912-3851	138.17792	-38.8508	0.6552714627	0.346
J0919-42	139.8	-42	1.230618	0.329
J0919-6040	139.8661	-60.68067	0.8217090786	0.355
J0921-5202	140.25	-52.03333	103.305785	0.355
B0917+63	140.3089	62.90386	0.6377575349233	1.003
B0919+06	140.558425	6.63981	2.32219477708	1.1
J0922-4949	140.56234	-49.82002	1.052311967403	2.698
J0923-31	141	-31.9	*	0.382
B0922-52	141.036342	-53.04517	1.33987540461	0.513
B0923-58	141.12842	-58.23475	1.35225504146	0.107
J0927+2345	141.9386	23.753	1.31252674625	1.091
J0928+06	142.18	6.23	0.485343	25
J0928+30	142.25	30.63	0.478126	2.037
